mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
61.44667025,0.708841041,27.14842625,0.124489098,0.1,0.0001,rbf,"{'C': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.072463768,0.076086957,0.070780399,0.083484574,0.074410163,0.075445172,0.004399181,23
58.06475415,0.657857032,9.961203814,0.0180623,0.1,0.0001,poly,"{'C': 0.1, 'gamma': 0.0001, 'kernel': 'poly'}",0.186594203,0.182971014,0.194192377,0.174228675,0.159709619,0.179539178,0.011812536,5
62.06878653,0.386485127,27.56886783,0.387725863,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.072463768,0.072463768,0.070780399,0.072595281,0.072595281,0.0721797,0.000702118,30
58.97751145,1.143176818,9.927603531,0.034848793,0.1,0.001,poly,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}",0.126811594,0.141304348,0.156079855,0.139745917,0.136116152,0.140011573,0.009479929,7
60.03191161,0.833817954,26.50230904,0.112695374,0.1,0.1,rbf,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",0.072463768,0.072463768,0.070780399,0.072595281,0.072595281,0.0721797,0.000702118,30
58.02790418,0.81999965,9.936770201,0.021973197,0.1,0.1,poly,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}",0.126811594,0.141304348,0.156079855,0.139745917,0.136116152,0.140011573,0.009479929,7
61.2206924,0.291593819,26.80491681,0.110145019,0.1,1,rbf,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}",0.072463768,0.072463768,0.070780399,0.072595281,0.072595281,0.0721797,0.000702118,30
59.65562067,1.011693253,9.937171221,0.011130765,0.1,1,poly,"{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}",0.126811594,0.141304348,0.156079855,0.139745917,0.136116152,0.140011573,0.009479929,7
60.74114532,0.352391364,26.83900204,0.024595589,1,0.0001,rbf,"{'C': 1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.213768116,0.221014493,0.228675136,0.20508167,0.190562613,0.211820406,0.013188715,3
59.74594231,0.226678488,9.927530622,0.015885155,1,0.0001,poly,"{'C': 1, 'gamma': 0.0001, 'kernel': 'poly'}",0.170289855,0.186594203,0.190562613,0.181488203,0.183303085,0.182447592,0.006819249,4
61.95260587,0.201805277,26.91247849,0.091344812,1,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.077898551,0.085144928,0.076225045,0.074410163,0.079854809,0.078706699,0.003688926,20
59.80232625,0.398890943,9.945916033,0.036165513,1,0.001,poly,"{'C': 1, 'gamma': 0.001, 'kernel': 'poly'}",0.126811594,0.141304348,0.156079855,0.139745917,0.136116152,0.140011573,0.009479929,7
61.74081669,0.546378755,27.02171202,0.227301661,1,0.1,rbf,"{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}",0.074275362,0.077898551,0.074410163,0.072595281,0.076225045,0.075080881,0.001817983,24
59.30114727,0.885237628,9.937571907,0.010351176,1,0.1,poly,"{'C': 1, 'gamma': 0.1, 'kernel': 'poly'}",0.126811594,0.141304348,0.156079855,0.139745917,0.136116152,0.140011573,0.009479929,7
61.25849147,1.101903172,26.71158276,0.161732585,1,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.072463768,0.074275362,0.070780399,0.072595281,0.074410163,0.072904995,0.001337756,27
59.62364407,0.350959574,9.948546219,0.023825876,1,1,poly,"{'C': 1, 'gamma': 1, 'kernel': 'poly'}",0.126811594,0.141304348,0.156079855,0.139745917,0.136116152,0.140011573,0.009479929,7
60.94487247,0.706390376,26.80443945,0.134283489,10,0.0001,rbf,"{'C': 10, 'gamma': 0.0001, 'kernel': 'rbf'}",0.221014493,0.230072464,0.208711434,0.210526316,0.203266788,0.214718299,0.009593588,1
59.2638557,0.745153709,9.932914972,0.013655134,10,0.0001,poly,"{'C': 10, 'gamma': 0.0001, 'kernel': 'poly'}",0.130434783,0.157608696,0.165154265,0.147005445,0.147005445,0.149441727,0.011719369,6
61.98712659,0.257042159,26.83289618,0.057999866,10,0.001,rbf,"{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}",0.077898551,0.085144928,0.076225045,0.074410163,0.079854809,0.078706699,0.003688926,20
60.00613079,0.74557968,9.939209127,0.013102696,10,0.001,poly,"{'C': 10, 'gamma': 0.001, 'kernel': 'poly'}",0.126811594,0.141304348,0.156079855,0.139745917,0.136116152,0.140011573,0.009479929,7
61.71947637,0.181589013,26.99116087,0.121067178,10,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.074275362,0.077898551,0.074410163,0.072595281,0.076225045,0.075080881,0.001817983,24
59.23508482,1.133090895,9.942386484,0.024002032,10,0.1,poly,"{'C': 10, 'gamma': 0.1, 'kernel': 'poly'}",0.126811594,0.141304348,0.156079855,0.139745917,0.136116152,0.140011573,0.009479929,7
60.50110292,0.674262191,26.82640643,0.125333259,10,1,rbf,"{'C': 10, 'gamma': 1, 'kernel': 'rbf'}",0.072463768,0.074275362,0.070780399,0.072595281,0.074410163,0.072904995,0.001337756,27
57.71869607,0.202183049,9.915136814,0.009435641,10,1,poly,"{'C': 10, 'gamma': 1, 'kernel': 'poly'}",0.126811594,0.141304348,0.156079855,0.139745917,0.136116152,0.140011573,0.009479929,7
60.5219027,0.866629017,27.39531698,0.185148786,100,0.0001,rbf,"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",0.221014493,0.230072464,0.208711434,0.210526316,0.203266788,0.214718299,0.009593588,1
59.39589591,0.446324031,9.936191511,0.026784961,100,0.0001,poly,"{'C': 100, 'gamma': 0.0001, 'kernel': 'poly'}",0.126811594,0.141304348,0.156079855,0.139745917,0.136116152,0.140011573,0.009479929,7
61.38085322,0.881018693,28.17341819,0.281102845,100,0.001,rbf,"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",0.077898551,0.085144928,0.076225045,0.074410163,0.079854809,0.078706699,0.003688926,20
58.32833047,0.633052633,9.922902107,0.018429831,100,0.001,poly,"{'C': 100, 'gamma': 0.001, 'kernel': 'poly'}",0.126811594,0.141304348,0.156079855,0.139745917,0.136116152,0.140011573,0.009479929,7
61.1523531,1.155513528,26.90219927,0.240905061,100,0.1,rbf,"{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}",0.074275362,0.077898551,0.074410163,0.072595281,0.076225045,0.075080881,0.001817983,24
